time,X,Y,Z
2025-08-28 18:46:10.712,0.11,0.38,0.1
2025-08-28 18:46:10.731,-0.01,0.31,0.06
2025-08-28 18:46:10.751,-0.12,0.19,0.03
2025-08-28 18:46:10.771,-0.21,0.03,-0.04
2025-08-28 18:46:10.798,-0.27,-0.14,-0.1
2025-08-28 18:46:10.811,-0.37,-0.22,-0.14
2025-08-28 18:46:10.830,-0.39,-0.25,-0.2
2025-08-28 18:46:10.853,-0.38,-0.21,-0.2
2025-08-28 18:46:10.874,-0.22,-0.08,-0.1
2025-08-28 18:46:10.895,-0.04,0.0,-0.02
2025-08-28 18:46:10.911,0.31,0.15,0.13
2025-08-28 18:46:10.930,0.45,0.21,0.18
2025-08-28 18:46:10.951,0.41,0.18,0.17
2025-08-28 18:46:10.972,0.24,0.09,0.12
2025-08-28 18:46:10.996,0.05,0.0,0.04
2025-08-28 18:46:11.012,-0.11,-0.07,-0.05
2025-08-28 18:46:11.032,-0.21,-0.14,-0.09
2025-08-28 18:46:11.050,-0.3,-0.19,-0.12
2025-08-28 18:46:11.071,-0.35,-0.24,-0.11
2025-08-28 18:46:11.100,-0.32,-0.26,-0.09
2025-08-28 18:46:11.109,-0.26,-0.22,-0.09
2025-08-28 18:46:11.130,-0.21,-0.17,-0.07
2025-08-28 18:46:11.150,-0.22,-0.11,-0.08
2025-08-28 18:46:11.172,-0.28,-0.06,-0.09
2025-08-28 18:46:11.198,-0.36,-0.05,-0.09
2025-08-28 18:46:11.209,-0.37,-0.06,-0.08
2025-08-28 18:46:11.230,-0.39,-0.09,-0.07
2025-08-28 18:46:11.251,-0.38,-0.08,-0.05
2025-08-28 18:46:11.270,-0.32,-0.09,-0.03
2025-08-28 18:46:11.297,-0.32,-0.11,-0.02
2025-08-28 18:46:11.310,-0.37,-0.11,-0.02
2025-08-28 18:46:11.332,-0.39,-0.04,-0.02
2025-08-28 18:46:11.354,-0.24,0.01,-0.03
2025-08-28 18:46:11.381,-0.07,0.06,-0.05
2025-08-28 18:46:11.390,0.01,0.08,-0.05
2025-08-28 18:46:11.411,0.01,0.06,-0.04
2025-08-28 18:46:11.432,-0.02,0.02,-0.03
2025-08-28 18:46:11.454,0.0,-0.0,-0.02
2025-08-28 18:46:11.480,0.04,-0.03,-0.02
2025-08-28 18:46:11.494,0.04,-0.06,-0.0
2025-08-28 18:46:11.514,0.02,-0.08,0.02
2025-08-28 18:46:11.531,0.04,-0.11,0.01
2025-08-28 18:46:11.552,0.09,-0.14,-0.0
2025-08-28 18:46:11.577,0.05,-0.11,-0.0
2025-08-28 18:46:11.591,0.04,-0.1,0.05
2025-08-28 18:46:11.611,0.04,-0.06,0.08
2025-08-28 18:46:11.632,0.09,-0.0,0.06
2025-08-28 18:46:11.653,0.31,0.0,0.03
2025-08-28 18:46:11.679,0.43,0.03,-0.0
2025-08-28 18:46:11.693,0.33,0.02,-0.02
2025-08-28 18:46:11.711,0.16,-0.0,-0.05
2025-08-28 18:46:11.732,-0.07,-0.06,-0.1
2025-08-28 18:46:11.753,-0.21,-0.12,-0.13
2025-08-28 18:46:11.777,-0.39,-0.18,-0.11
2025-08-28 18:46:11.793,-0.48,-0.2,-0.07
2025-08-28 18:46:11.812,-0.58,-0.18,-0.05
2025-08-28 18:46:11.835,-0.44,-0.12,-0.06
2025-08-28 18:46:11.864,-0.35,-0.08,-0.09
2025-08-28 18:46:11.873,-0.25,-0.05,-0.11
2025-08-28 18:46:11.892,-0.18,-0.03,-0.09
2025-08-28 18:46:11.911,-0.13,0.0,-0.05
2025-08-28 18:46:11.932,-0.06,0.02,-0.04
2025-08-28 18:46:11.953,-0.13,0.04,-0.06
2025-08-28 18:46:11.977,-0.24,0.06,-0.07
2025-08-28 18:46:11.994,-0.18,0.03,-0.08
2025-08-28 18:46:12.012,-0.06,0.04,-0.07
2025-08-28 18:46:12.032,-0.0,0.02,-0.07
2025-08-28 18:46:12.052,-0.12,0.04,-0.05
2025-08-28 18:46:12.079,-0.24,0.08,-0.07
2025-08-28 18:46:12.091,-0.23,0.0,-0.12
2025-08-28 18:46:12.112,-0.17,-0.14,-0.15
2025-08-28 18:46:12.133,-0.12,-0.12,-0.1
2025-08-28 18:46:12.154,-0.16,-0.04,-0.09
2025-08-28 18:46:12.174,-0.24,0.03,-0.09
2025-08-28 18:46:12.191,-0.09,0.09,-0.06
2025-08-28 18:46:12.212,0.17,-0.01,-0.13
2025-08-28 18:46:12.231,0.38,-0.18,-0.17
2025-08-28 18:46:12.250,0.35,-0.15,-0.15
2025-08-28 18:46:12.275,0.06,-0.07,-0.11
2025-08-28 18:46:12.292,-0.23,-0.06,-0.09
2025-08-28 18:46:12.313,-0.25,-0.09,-0.15
2025-08-28 18:46:12.330,-0.1,-0.14,-0.17
2025-08-28 18:46:12.351,-0.05,-0.09,-0.16
2025-08-28 18:46:12.371,-0.1,-0.0,-0.12
2025-08-28 18:46:12.390,-0.22,0.02,-0.09
2025-08-28 18:46:12.411,-0.34,0.04,-0.09
2025-08-28 18:46:12.432,-0.23,0.03,-0.09
2025-08-28 18:46:12.453,-0.08,0.03,-0.08
2025-08-28 18:46:12.475,-0.03,0.03,-0.05
2025-08-28 18:46:12.492,0.0,0.05,-0.05
2025-08-28 18:46:12.510,-0.02,0.05,-0.03
2025-08-28 18:46:12.533,-0.07,0.05,-0.04
2025-08-28 18:46:12.560,-0.06,0.08,-0.08
2025-08-28 18:46:12.571,0.24,0.12,-0.04
2025-08-28 18:46:12.592,0.52,0.15,0.0
2025-08-28 18:46:12.613,0.65,0.15,0.04
2025-08-28 18:46:12.635,0.41,0.14,0.06
2025-08-28 18:46:12.658,0.18,0.1,0.05
2025-08-28 18:46:12.675,0.09,0.0,0.04
2025-08-28 18:46:12.693,0.13,-0.01,0.03
2025-08-28 18:46:12.713,0.19,0.02,0.02
2025-08-28 18:46:12.733,0.18,0.07,0.03
2025-08-28 18:46:12.762,0.12,0.1,0.03
2025-08-28 18:46:12.772,0.04,0.1,0.01
2025-08-28 18:46:12.796,-0.01,0.16,0.05
2025-08-28 18:46:12.812,0.08,0.2,0.1
2025-08-28 18:46:12.833,0.23,0.19,0.15
2025-08-28 18:46:12.860,0.33,0.16,0.2
2025-08-28 18:46:12.872,0.42,0.2,0.23
2025-08-28 18:46:12.893,0.41,0.27,0.22
2025-08-28 18:46:12.913,0.3,0.32,0.21
2025-08-28 18:46:12.933,0.23,0.34,0.19
2025-08-28 18:46:12.958,0.25,0.3,0.13
2025-08-28 18:46:12.973,0.26,0.25,0.12
2025-08-28 18:46:12.993,0.3,0.22,0.13
2025-08-28 18:46:13.013,0.38,0.19,0.15
2025-08-28 18:46:13.034,0.38,0.18,0.18
2025-08-28 18:46:13.060,0.37,0.15,0.2
2025-08-28 18:46:13.074,0.4,0.1,0.19
2025-08-28 18:46:13.094,0.44,0.08,0.17
2025-08-28 18:46:13.115,0.5,0.07,0.17
2025-08-28 18:46:13.142,0.54,0.08,0.2
2025-08-28 18:46:13.155,0.57,0.11,0.23
2025-08-28 18:46:13.173,0.56,0.14,0.24
2025-08-28 18:46:13.194,0.52,0.18,0.25
2025-08-28 18:46:13.213,0.46,0.24,0.27
2025-08-28 18:46:13.234,0.45,0.27,0.28
2025-08-28 18:46:13.257,0.53,0.27,0.27
2025-08-28 18:46:13.275,0.5,0.26,0.22
2025-08-28 18:46:13.293,0.28,0.2,0.17
2025-08-28 18:46:13.313,-0.01,0.14,0.14
2025-08-28 18:46:13.333,-0.34,0.03,0.04
2025-08-28 18:46:13.356,-0.69,-0.22,-0.1
2025-08-28 18:46:13.372,-0.88,-0.52,-0.21
2025-08-28 18:46:13.393,-0.77,-0.55,-0.26
2025-08-28 18:46:13.413,-0.47,-0.36,-0.23
2025-08-28 18:46:13.438,-0.14,-0.13,-0.04
2025-08-28 18:46:13.455,0.05,0.01,0.07
2025-08-28 18:46:13.471,0.36,0.19,0.2
2025-08-28 18:46:13.494,0.5,0.24,0.22
2025-08-28 18:46:13.514,0.44,0.25,0.16
2025-08-28 18:46:13.534,0.27,0.21,0.07
2025-08-28 18:46:13.556,0.06,0.13,-0.04
2025-08-28 18:46:13.574,-0.07,0.07,-0.1
2025-08-28 18:46:13.596,-0.19,0.01,-0.1
2025-08-28 18:46:13.616,-0.26,-0.01,-0.08
2025-08-28 18:46:13.640,-0.26,-0.09,-0.07
2025-08-28 18:46:13.655,-0.24,-0.14,-0.06
2025-08-28 18:46:13.672,-0.19,-0.14,-0.05
2025-08-28 18:46:13.694,-0.17,-0.12,-0.07
2025-08-28 18:46:13.715,-0.17,-0.04,-0.09
2025-08-28 18:46:13.739,-0.18,0.01,-0.1
2025-08-28 18:46:13.757,-0.17,0.06,-0.08
2025-08-28 18:46:13.774,-0.13,0.07,-0.08
2025-08-28 18:46:13.793,-0.1,0.03,-0.09
2025-08-28 18:46:13.816,-0.16,-0.01,-0.09
2025-08-28 18:46:13.837,-0.24,-0.05,-0.09
