2025-08-28 18:17:28.048 11161-11161 AccelData               com.example.geunhwang                D  X: -0.08, Y: -0.10, Z: -0.06
2025-08-28 18:17:28.069 11161-11161 AccelData               com.example.geunhwang                D  X: -0.11, Y: -0.11, Z: 0.00
2025-08-28 18:17:28.091 11161-11161 AccelData               com.example.geunhwang                D  X: -0.11, Y: -0.08, Z: 0.07
2025-08-28 18:17:28.109 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.15, Z: -0.05
2025-08-28 18:17:28.128 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.01, Z: 0.03
2025-08-28 18:17:28.148 11161-11161 AccelData               com.example.geunhwang                D  X: 0.14, Y: 0.01, Z: 0.03
2025-08-28 18:17:28.168 11161-11161 AccelData               com.example.geunhwang                D  X: 0.13, Y: 0.18, Z: 0.04
2025-08-28 18:17:28.192 11161-11161 AccelData               com.example.geunhwang                D  X: 0.13, Y: 0.01, Z: 0.06
2025-08-28 18:17:28.211 11161-11161 AccelData               com.example.geunhwang                D  X: 0.06, Y: 0.29, Z: 0.03
2025-08-28 18:17:28.228 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.14, Z: 0.04
2025-08-28 18:17:28.250 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.09, Z: 0.04
2025-08-28 18:17:28.275 11161-11161 AccelData               com.example.geunhwang                D  X: -0.05, Y: 0.13, Z: 0.05
2025-08-28 18:17:28.292 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.14, Z: -0.05
2025-08-28 18:17:28.312 11161-11161 AccelData               com.example.geunhwang                D  X: -0.05, Y: -0.18, Z: -0.08
2025-08-28 18:17:28.329 11161-11161 AccelData               com.example.geunhwang                D  X: 0.10, Y: -0.10, Z: -0.18
2025-08-28 18:17:28.348 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.12, Z: 0.00
2025-08-28 18:17:28.368 11161-11161 AccelData               com.example.geunhwang                D  X: -0.07, Y: -0.18, Z: 0.05
2025-08-28 18:17:28.393 11161-11161 AccelData               com.example.geunhwang                D  X: -0.06, Y: -0.02, Z: 0.11
2025-08-28 18:17:28.411 11161-11161 AccelData               com.example.geunhwang                D  X: -0.05, Y: -0.00, Z: 0.02
2025-08-28 18:17:28.428 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.24, Z: -0.02
2025-08-28 18:17:28.448 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.08, Z: -0.02
2025-08-28 18:17:28.468 11161-11161 AccelData               com.example.geunhwang                D  X: 0.10, Y: -0.04, Z: -0.15
2025-08-28 18:17:28.495 11161-11161 AccelData               com.example.geunhwang                D  X: 0.13, Y: 0.25, Z: 0.05
2025-08-28 18:17:28.508 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.03, Z: 0.08
2025-08-28 18:17:28.528 11161-11161 AccelData               com.example.geunhwang                D  X: 0.10, Y: -0.07, Z: 0.02
2025-08-28 18:17:28.549 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.07, Z: 0.10
2025-08-28 18:17:28.570 11161-11161 AccelData               com.example.geunhwang                D  X: -0.10, Y: -0.05, Z: 0.09
2025-08-28 18:17:28.591 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: -0.10, Z: -0.01
2025-08-28 18:17:28.610 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.12, Z: -0.12
2025-08-28 18:17:28.629 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.02, Z: -0.16
2025-08-28 18:17:28.648 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.08, Z: -0.03
2025-08-28 18:17:28.668 11161-11161 AccelData               com.example.geunhwang                D  X: -0.06, Y: -0.19, Z: 0.14
2025-08-28 18:17:28.695 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.05, Z: 0.09
2025-08-28 18:17:28.709 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.03, Z: -0.10
2025-08-28 18:17:28.730 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.15, Z: -0.17
2025-08-28 18:17:28.749 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: -0.09, Z: -0.08
2025-08-28 18:17:28.776 11161-11161 AccelData               com.example.geunhwang                D  X: 0.05, Y: -0.00, Z: 0.03
2025-08-28 18:17:28.793 11161-11161 AccelData               com.example.geunhwang                D  X: 0.10, Y: 0.04, Z: 0.06
2025-08-28 18:17:28.808 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: 0.12, Z: 0.23
2025-08-28 18:17:28.828 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.05, Z: 0.17
2025-08-28 18:17:28.850 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.03, Z: 0.02
2025-08-28 18:17:28.876 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: -0.08, Z: -0.10
2025-08-28 18:17:28.890 11161-11161 AccelData               com.example.geunhwang                D  X: 0.05, Y: -0.16, Z: -0.13
2025-08-28 18:17:28.909 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.04, Z: -0.07
2025-08-28 18:17:28.928 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: -0.09, Z: -0.05
2025-08-28 18:17:28.949 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.06, Z: -0.01
2025-08-28 18:17:28.973 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.02, Z: 0.03
2025-08-28 18:17:28.991 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.13, Z: 0.03
2025-08-28 18:17:29.008 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.03, Z: 0.06
